id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,6,35,70,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,1687,no
T009,20_Crawford,55,68,approximate,m,2005,approximate,personal narrative,na,all,English,bad,constant,90,no
T011,32b,45,80,approximate,m,2005,approximate,personal narrative,na,all,English,good,constant,266,no
T012,32c,45,80,approximate,m,2005,approximate,personal narrative,na,all,English,good,constant,122,no
T015,78a,40,72,approximate,m,2005,approximate,traditional narrative,na,all,English,medium,punctual,681,no
T018,92a,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,369,no
T019,92b,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,345,no
T020,92c,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,323,no
T021,92d,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,359,no
T022,92e,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,343,no
T023,92f,40,72,approximate,m,2005,approximate,conversation,na,all,English,good,punctual,161,no
T003,10,36,75,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,none,112,yes
T004,15_speech_part_1,33,75,approximate,m,2005,approximate,personal narrative,na,all,English,bad,none,417,yes
T005,15_speech_part_2,33,75,approximate,m,2005,approximate,personal narrative,na,all,English,bad,punctual,543,yes
T006,15captive,33,75,approximate,m,2005,approximate,traditional narrative,na,all,English,medium,constant,556,yes
T010,20_Nelson,56,75,approximate,m,2005,approximate,personal narrative,na,all,English,bad,constant,233,yes
T013,35c,6,75,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,446,yes
T014,35d,6,75,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,545,yes
T002,7a,35,70,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,2072,yes
T007,15_eagles,35,70,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,322,yes
T008,15_secondthought,35,70,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,415,yes
