id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,abuelo,EAO,56,certain,f,2002-07-30,certain,personal narrative,na,all,English/Spanish,good,constant,428,no
T002,ArosII,EAO,56,certain,f,2002-07-30,certain,personal narrative,na,all,English/Spanish,good,constant,369,no
T003,EAO-vibora,EAO,61,certain,f,2007-08-24,certain,personal narrative,na,all,English,middle,constant,1091,no
T004,escape_de_la_hija,EAO,56,certain,f,2002-08-02,certain,personal narrative,na,all,English/Spanish,middle,constant,640,no
T005,HRR_120808_tigregente,HRR,54,certain,m,2008-08-12,certain,traditional narrative,na,all,Spanish,bad,constant,3636,no
T006,JGD_130907_6_el_pueblo,JGD,63,certain,m,2007-09-13,certain,traditional narrative,na,all,English/Spanish,good,constant,1108,no
T007,JGD_130907_8_lago_seco,JGD,63,certain,m,2007-09-13,certain,traditional narrative,na,all,Spanish,good,constant,252,no
T008,JGD_130907_9_pescador,JGD,63,certain,m,2007-07-09,certain,traditional narrative,na,all,Spanish,good,constant,950,no
T009,JMH_120901_perro2,JMH,68,certain,f,2001-09-12,certain,personal narrative,na,all,English,good,constant,521,no
T010,MZP_KH_NARR_130907_JGD-CAIMAN,JGD,63,certain,m,2007-09-13,certain,personal narrative,na,all,English,medium,constant,486,no
T011,MZP_KH_NARR_180614_JZH-MACHADO,JZH,80,approximate,m,2014-06-18,certain,personal narrative,na,all,English,good,constant,499,no
T012,tigre_y_perro,EAO,57,certain,f,2002-07-20,certain,personal narrative,na,all,English/Spanish,good,constant,203,no
