id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,20131027_20150725c,RL,69,certain,f,2013-10-27,certain,personal narrative,na,break/gloss,Swahili/English,medium,none,1225,no
T002,20131108b_20150725j,RL,69,certain,f,2013-11-08,certain,traditional narrative,na,break/gloss,Swahili/English,medium,none,1075,no
T005,20150808a,TD,17,certain,m,2015-08-08,certain,personal narrative,na,break/gloss,Swahili/English,medium,punctual,649,no
T006,20150817d,SJ/HJ,19/22,certain/certain,m/m,2015-08-17,certain,conversation,stimulus tools,break/gloss,Swahili/English,good,punctual,2517,no
T007,20150818a,JS/RL,76/71,certain/certain,m/f,2015-08-18,certain,conversation,stimulus tools,break/gloss,Swahili/English,medium,punctual,664,no
T011,20151125k,BQ,95,certain,m,2015-11-25,certain,conversation,na,all,English,medium,punctual,878,no
T012,20151202d,BS,61,certain,m,2015-12-02,certain,traditional narrative,na,all,English,medium,punctual,1521,no
T013,20151202e,BS,61,certain,m,2015-12-02,certain,traditional narrative,na,all,English,good,none,1033,no
T014,20151223b,BS/PB,61/23,certain/certain,m/m,2015-12-23,certain,conversation,na,all,English,medium,constant,1112,no
T015,20160219h,BT/AG,97/95,certain/certain,m/m,2016-02-19,certain,conversation,na,all,English,medium,none,357,yes
T004,20150726d,SY/RL,12/71,certain/certain,m/f,2015-07-26,certain,conversation,na,all,English,medium,punctual,783,yes
T008,20151021c,BS/PB,61/23,certain/certain,m/m,2015-10-21,certain,conversation,stimulus tools,all,English,bad,punctual,2242,yes
T009,20151125i,BQ/BS,95/61,certain/certain,m/m,2015-11-25,certain,conversation,na,all,English,medium,none,2754,yes
T010,20151125j,BQ/BS,95/61,certain/certain,m/m,2015-11-25,certain,conversation,na,all,English,medium,none,2878,yes
