id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,GN_Yube_xenidan,GN,48,certain,m,2006-06-11,certain,traditional narrative,na,break/gloss,English/Portuguese,good,constant,3959,no
T002,JC_Heu_yuxibu,JC,58,certain,m,2006-06-09,certain,traditional narrative,na,break/gloss,English/Portuguese,good,constant,639,no
T003,MB_Autobiography,MB,65,certain,m,2006-06-17,certain,personal narrative,na,break/gloss,English/Portuguese,good,constant,5445,no
