id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,mc_sanzhi_asabali,SD01,60,approximate,m,2012,certain,personal narrative,na,all,English,medium,constant,413,no
T002,mc_sanzhi_bazhuk,SD02,60,approximate,m,2013,certain,traditional narrative,na,all,English,good,constant,317,no
T003,mc_sanzhi_dragon,SD02,60,approximate,m,2013,certain,personal narrative,na,all,English,medium,constant,415,no
T004,mc_sanzhi_kurban,SD03,60,approximate,m,2011,certain,personal narrative,na,all,English,medium,constant,495,no
T005,mc_sanzhi_mill,SD01,60,approximate,m,2013,certain,traditional narrative,na,all,English,medium,constant,409,no
T006,mc_sanzhi_patima,SD02,60,approximate,m,2013,certain,traditional narrative,na,all,English,medium,punctual,445,no
T007,mc_sanzhi_ramazan,SD04,60,approximate,m,2012,certain,personal narrative,na,all,English,bad,punctual,669,no
T008,mc_sanzhi_tape,SD03,60,approximate,m,2011,certain,personal narrative,na,all,English,good,constant,184,no
T009,Sanzhi_09_08_2012_RMDF_001,KZ,80,approximate,f,2012-08-09,certain,personal narrative,na,none,Russian,good,punctual,1799,no
