id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,MEW-008-20111119,BPN,73,certain,m,2011-11-19,certain,personal narrative,na,none,German,medium,none,738,no
T002,MEW-062-20121023,EMZ,86,certain,m,2012-10-23,certain,personal narrative,na,none,German,medium,punctual,1001,no
T003,MEW-063-20121023,EMZ,86,certain,m,2012-10-23,certain,personal narrative,na,none,German,medium,none,767,no
T004,MEW-064-20121023,EMZ,86,certain,m,2012-10-23,certain,personal narrative,na,none,German,medium,none,1484,no
T005,MEW-066-20121023,EMZ,86,certain,m,2012-10-23,certain,personal narrative,na,none,German,medium,none,109,no
T006,MEW-087-20121102,BPN,73,certain,m,2012-11-02,certain,personal narrative,na,none,German,medium,none,902,no
T007,MEW-088-20121102,BPN,73,certain,m,2012-11-02,certain,personal narrative,na,none,German,medium,none,661,no
T008,MEW-097-20121102,BPN,73,certain,m,2012-11-02,certain,personal narrative,na,none,German,medium,none,1115,no
T009,MEW-111-20121214,EMZ,86,certain,m,2012-12-14,certain,personal narrative,na,none,German,medium,none,244,no
T010,MEW-112-20121214,EMZ,86,certain,m,2012-12-14,certain,personal narrative,na,none,German,medium,none,88,no
T011,MEW-113-20121214,EMZ,86,certain,m,2012-12-14,certain,personal narrative,na,none,German,medium,none,298,no
T012,MEW-115-20121214,EMZ,86,certain,m,2012-12-14,certain,personal narrative,na,none,German,medium,none,186,no
T013,MEW-120-20121214,EMZ,86,certain,m,2012-12-14,certain,personal narrative,na,none,German,medium,none,188,no
T014,MEW-122-20130812,LRE,77,certain,f,2013-08-12,certain,personal narrative,na,none,German,medium,none,535,no
T015,MEW-126-20130830,FKM,73,certain,m,2013-08-30,certain,personal narrative,na,none,German,medium,none,1930,no
