id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,DJI041109AC,HS,45,certain,f,2009,certain,procedural,na,break/gloss,English/French,medium,punctual,948,yes
T002,DJI070211AC,CS,66,certain,m,2011,certain,traditional narrative,na,break/gloss,English/French,good,punctual,397,no
T003,DJI070211AC2,CS,66,certain,m,2011,certain,procedural,na,break/gloss,English/French,good,punctual,342,no
T004,DJI070211AC3,CS,66,certain,m,2011,certain,procedural,na,break/gloss,English/French,good,punctual,212,no
T005,DJI101010AC1,BS,20,certain,f,2010,certain,traditional narrative,na,break/gloss,English/French,good,constant,295,no
T006,DJI101010AC2,BS,20,certain,f,2010,certain,traditional narrative,na,break/gloss,English/French,good,constant,1224,no
T007,DJI101210AC2,JS,70,approximate,m,2010,certain,procedural,na,none,French,good,constant,608,no
T008,DJI101210AC3,JS,70,approximate,m,2010,certain,procedural,na,break/gloss,English/French,good,constant,194,no
T009,DJI121109AC,AB/AS,61/65,certain/certain,m/m,2009,certain,conversation,na,break/gloss,English/French,good,constant,493,no
T010,DJI121109AC2,AB,61,certain,m,2009,certain,traditional narrative,na,break/gloss,English/French,good,constant,245,no
T011,DJI121109AC3,AB,61,certain,m,2009,certain,procedural,na,break/gloss,English/French,good,constant,195,no
T012,DJI211110AC,JS,70,approximate,m,2010,certain,procedural,na,none,English/French,medium,constant,1736,no
T013,DJI230111AC3,AKS/EC,67/76,certain/certain,m/m,2011,certain,conversation,na,break/gloss,English/French,good,punctual,452,no
T014,DJI240211AC,AJB/LM,78/37,certain/certain,f/m,2011,certain,conversation,na,none,French,good,constant,1409,no
T015,DJI240211AC2,AJB/LM,78/37,certain/certain,f/m,2011,certain,conversation,na,break/gloss,English/French,bad,constant,620,no
T016,DJI240211AC3,LM,37,certain,m,2011,certain,traditional narrative,na,break/gloss,English/French,good,constant,546,no
T017,DJI291014AC,CS,69,certain,m,2014,certain,traditional narrative,na,break/gloss,English/French,good,constant,1344,no
T018,DJIPecheLM,LM,37,approximate,m,2011,approximate,procedural,na,break/gloss,English/French,medium,constant,1165,no
