id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,veraa_anv,VR01,20,approximate,f,2007,certain,traditional narrative,na,all,English,good,punctual,855,no
T002,veraa_as1,VR02,40,approximate,m,2007,certain,traditional narrative,na,all,English,medium,punctual,1003,no
T005,veraa_hhak,VR05,20,approximate,m,2007,certain,traditional narrative,na,all,English,good,punctual,1873,no
T006,veraa_isam,VR06,60,approximate,m,2007,certain,traditional narrative,na,all,English,good,punctual,1189,no
T008,veraa_jjq,VR08,60,approximate,m,2007,certain,traditional narrative,na,all,English,good,punctual,4239,no
T009,veraa_mvbw,VR09,30,approximate,m,2007,certain,traditional narrative,na,all,English,good,punctual,1465,no
T010,veraa_palaa,VR10,40,approximate,f,2007,certain,traditional narrative,na,all,English,good,constant,615,no
T011,veraa_palab,VR10,40,approximate,f,2007,certain,traditional narrative,na,all,English,good,constant,1141,no
T003,veraa_gabg,VR03,40,approximate,m,2007,certain,traditional narrative,na,all,English,good,punctual,899,yes
T004,veraa_gaqg,VR04,40,approximate,m,2007,certain,traditional narrative,na,all,English,good,punctual,1172,yes
T007,veraa_iswm,VR07,60,approximate,m,2007,certain,traditional narrative,na,all,English,medium,constant,3343,yes
