id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,T06,LJI,68,certain,m,2005,certain,traditional narrative,na,all,English/Spanish,medium,punctual,908,no
T002,T11,EIN,50,certain,m,2006,certain,stimulus retelling,na,all,English/Spanish,bad,constant,308,no
T003,T12,ANM,60,approximate,m,2006,certain,traditional narrative,na,all,English/Spanish,good,punctual,275,no
T004,T19,FCT,46,certain,f,2006,certain,traditional narrative,na,all,English/Spanish,medium,constant,1578,no
T005,T20,LJI/FCT,69/46,certain/certain,m/f,2006,certain,conversation,na,all,English/Spanish,good,punctual,372,no
T006,T22,ANM,70,approximate,m,2008,certain,traditional narrative,na,all,English/Spanish,medium,constant,652,no
T007,T24,ANM,70,approximate,m,2008,certain,traditional narrative,na,all,English/Spanish,medium,punctual,1572,no
T008,T30,LJI,71,certain,m,2008,certain,traditional narrative,na,all,English/Spanish,medium,punctual,1202,no
T009,T35,CMC,30,approximate,f,2010,certain,personal narrative,na,all,English/Spanish,medium,constant,468,no
T010,T47,SGG,60,certain,f,2018,certain,traditional narrative,na,none,Spanish,good,constant,457,no
T011,T01,LJI,68,certain,m,2005,certain,traditional narrative,na,all,English/Spanish,medium,punctual,149,yes
T012,T02,LJI,68,certain,m,2005,certain,traditional narrative,na,all,English/Spanish,good,constant,611,yes
T013,T07,G/PMY,60/60,approximate/approximate,f/f,2005,certain,conversation,na,all,English/Spanish,medium,constant,79,yes
T014,T08,EIN,50,certain,m,2006,certain,traditional narrative,na,all,English/Spanish,medium,constant,271,yes
T015,T09,FGN,60,approximate,m,2006,certain,traditional narrative,na,all,English/Spanish,medium,constant,800,yes
T016,T10,PFN,54,certain,m,2009,certain,traditional narrative,na,all,English/Spanish,good,constant,367,yes
T017,T13,PFN,54,certain,m,2006,certain,traditional narrative,na,all,English/Spanish,good,punctual,484,yes
T018,T14,PFN,54,certain,m,2006,certain,traditional narrative,na,all,English/Spanish,good,constant,370,yes
T019,T15,FMJ,60,approximate,m,2006,certain,traditional narrative,na,all,English/Spanish,good,constant,363,yes
T020,T16,FMJ,60,approximate,m,2006,certain,traditional narrative,na,all,English/Spanish,good,constant,204,yes
T021,T18,NYM,73,certain,m,2006,certain,stimulus retelling,na,all,English/Spanish,good,constant,562,yes
T022,T21,LJI,71,certain,m,2008,certain,traditional narrative,na,all,English/Spanish,medium,punctual,1377,yes
T023,T23,MYY/CMC,60/30,approximate/approximate,f/f,2008,certain,conversation,na,all,English/Spanish,bad,punctual,127,yes
T024,T25,FMJ,70,approximate,m,2008,certain,personal narrative,na,all,English/Spanish,medium,punctual,2140,yes
T025,T26,NTN/MYY,41/30,certain/approximate,f/m,2008,certain,conversation,na,all,English/Spanish,good,constant,303,yes
T026,T28,ESV/VMN,60/50,approximate/approximate,m/f,2008,certain,conversation,na,all,English/Spanish,good,constant,21,yes
T027,T29,CYM/SYM,30/38,approximate/certain,f/f,2008,certain,conversation,na,all,English/Spanish,medium,punctual,325,yes
T028,T31,ONT,42,certain,m,2008,certain,traditional narrative,na,all,English/Spanish,medium,constant,191,yes
T029,T32,ONT,42,certain,m,2008,certain,personal narrative,na,all,English/Spanish,medium,constant,199,yes
T030,T33,MPMT,36,certain,f,2008,certain,personal narrative,na,all,English/Spanish,medium,constant,413,yes
T031,T34,LNN,70,approximate,f,2010,certain,traditional narrative,na,all,English/Spanish,medium,constant,630,yes
T032,T36,FCT,50,certain,f,2010,certain,personal narrative,na,all,English/Spanish,good,constant,558,yes
