id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T004,D12OASKinship1,KBK/OAS,32/31,certain/certain,m/m,2012-05-02,certain,personal narrative,na,none,English,medium,none,280,no
T005,D12OASKinship2,KBK/OAS,32/31,certain/certain,m/m,2012-05-02,certain,personal narrative,na,none,English,medium,none,146,no
T007,D13GAKClans,KBK/GAK,33/66,certain/certain,m/m,2013-05-20,certain,personal narrative,na,none,English,medium,punctual,1386,no
T008,D13GAKFarming,KBK/GAK,33/66,certain/certain,m/m,2013-05-10,certain,personal narrative,na,none,English,medium,punctual,866,no
T010,D13GAKPerformances,KBK/GAK,33/66,certain/certain,m/m,2013-05-24,certain,personal narrative,na,none,English,good,punctual,1013,no
T014,D13NHKCattlebreeding,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,none,321,no
T015,D13NHKExternalrelations,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,punctual,413,no
T016,D13NHKFarmingcycle,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,none,828,no
T017,D13NHKFestivals,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,none,734,no
T018,D13NHKHousebuilding,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,none,268,no
T019,D13NHKPoliticalstructure,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,none,212,no
T020,D13NHKRituals,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,none,286,no
T021,D13NHKWedding,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,none,463,no
T022,D13NHKYearcycle,KBK/NHK,33/65,certain/certain,m/m,2013-02-01,certain,personal narrative,na,none,English,good,none,438,no
T041,N13GAKHistory,KBK/GAK,33/66,certain/certain,m/m,2013-05-24,certain,personal narrative,na,none,English,medium,punctual,1012,no
T042,N13HSDAnimalStory,HSD,60,certain,f,2013-08-30,certain,personal narrative,na,none,English,medium,punctual,599,no
