id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,AnIM_2009_Argish_nar,AnIM,49,certain,f,2009,certain,personal narrative,na,all,English/German/Russian,good,none,251,no
T002,AnIM_2009_Pear_nar,AnIM,49,certain,f,2009,certain,stimulus retelling,pear story,all,English/German/Russian,good,none,217,no
T003,AnMS_1972_GoodSovietTimes_nar,AnMS,60,approximate,m,1972,certain,personal narrative,na,all,English/German/Russian,medium,none,592,no
T004,BeAM_199X_HumanInLandOfDeath_flk,BeAM,80,approximate,f,1990,approximate,traditional narrative,na,all,English/German/Russian,good,none,1903,no
T005,BeES_1997_HistoryOfKatyryk_nar,BeES,62,certain,f,1997,certain,personal narrative,na,all,English/German/Russian,bad,none,1538,no
T006,BeES_2010_HidePreparation_nar,BeES,75,certain,f,2010,certain,personal narrative,na,all,English/German/Russian,good,none,773,no
T007,KiMN_1975_ReindeerHerding_nar,KiMN,60,certain,m,1975,certain,personal narrative,na,all,English/German/Russian,bad,none,911,no
T008,KiMN_19900417_Milkmaid_flk,KiMN,75,certain,m,1990,certain,traditional narrative,na,all,English/German/Russian,medium,none,1809,no
T009,SuAA_20XX_Birth_nar,SuAA,65,approximate,f,2000,approximate,personal narrative,na,all,English/German/Russian,good,none,784,no
T010,KuDP_2009_Fire_nar,KuDP,9,certain,f,2009,certain,personal narrative,na,all,English/German/Russian,good,none,146,yes
T011,ChVD_AkEE_198204_SoldierInWar_nar,ChVD,58,certain,m,1982,certain,personal narrative,na,all,English/German/Russian,medium,none,969,yes
T012,ErTS_AkPG_1994_AAPopov_nar,ErTS,63,certain,f,1994,certain,personal narrative,na,all,English/German/Russian,medium,none,1245,yes
T013,AnKA_2009_Games_nar,Anka,10,approximate,f,2009,certain,personal narrative,na,all,English/German/Russian,good,some,106,yes
T014,KiPP_2009_Syndassko_nar,KiPP,77,certain,f,2009,certain,personal narrative,na,all,English/German/Russian,good,none,696,yes
T015,KiPP_KuNS_2002_LegendOfBegichev_nar,KiPP/KuNS,72/35,certain/approximate,f/f,2002,certain,conversation,na,all,English/German/Russian,good,none,652,yes
T016,KuDP_2009_Hare_nar,KuDP,9,certain,f,2009,certain,personal narrative,na,all,English/German/Russian,good,some,281,yes
T017,MiPP_1996_OldManButterfly_flk,MiPP,60,approximate,m,1996,certain,traditional narrative,na,all,English/German/Russian,medium,none,769,yes
T018,NaLE_2002_StonyBone_flk,NaLE,63,certain,f,2002,certain,traditional narrative,na,all,English/German/Russian,good,none,456,yes
T019,PoNA_AkPG_1994_MPXarlampiev_nar,PoNA/AkPG,na/na,na/na,na/na,1994,certain,conversation,na,all,English/German/Russian,good,some,1272,yes
T020,PoTY_2009_Aku_nar,PoTY,42,certain,f,2009,certain,personal narrative,na,all,English/German/Russian,medium,some,1001,yes
T021,PoXN_19701118_Chopochuka_flk,PoXN,55,approximate,f,1970,certain,traditional narrative,na,all,English/German/Russian,good,none,725,yes
T022,SuAA_20XX_NameGiving_nar,SuAA,65,approximate,f,2000,approximate,personal narrative,na,all,English/German/Russian,medium,none,232,yes
T023,UkET_19940424_OldWomanTaal_flk,UkET,56,certain,f,1994,certain,traditional narrative,na,all,English/German/Russian,good,none,401,yes
T024,UkET_2002_FoxJayBuzzard_flk,UkET,64,certain,f,2002,certain,traditional narrative,na,all,English/German/Russian,bad,none,672,yes
T025,UkOA_2010_Festival_nar,UkOA,51,certain,m,2010,certain,personal narrative,na,all,English/German/Russian,good,none,565,yes
