id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,mc_english_kent02_b,EN01,85,approximate,m,1975,certain,personal narrative,na,all,English,medium,punctual,4782,no
T002,mc_english_kent03_b,EN03,87,approximate,m,1976,certain,personal narrative,na,all,English,medium,punctual,4216,no
T003,mc_english_devon01,EN02,80,certain,m,1980,certain,personal narrative,na,all,English,medium,none,3759,yes
T004,mc_english_kent01,EN01,85,approximate,m,1975,certain,personal narrative,na,all,English,medium,none,4030,yes
T005,mc_english_kent02_a,EN01,85,approximate,m,1975,certain,personal narrative,na,all,English,medium,punctual,4831,yes
T006,mc_english_kent03_a,EN03,87,approximate,m,1976,certain,personal narrative,na,all,English,medium,none,4193,yes
T007,mc_english_london01_a,EN04,61,approximate,m,1985,certain,personal narrative,na,all,English,bad,none,4725,yes
T008,mc_english_london01_b,EN04,61,approximate,m,1985,certain,personal narrative,na,all,English,bad,none,4905,yes
