id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,candi_res,PA,50,approximate,m,2009-08-09,certain,personal narrative,na,none,Spanish,good,none,228,no
T002,cuentores_3,PA,50,approximate,m,2004-12-13,certain,traditional narrative,na,none,Spanish,medium,constant,1191,no
T003,cuentores_7,RA,50,approximate,f,2005-07-19,certain,traditional narrative,na,none,Spanish,good,constant,210,no
T004,cuentores_8,RA,50,approximate,f,2005-07-19,certain,traditional narrative,na,none,Spanish,good,constant,531,no
T005,cuentores_9,RA,50,approximate,f,2005-07-19,certain,traditional narrative,na,none,Spanish,good,constant,114,no
T006,cuentores_11,PA,50,approximate,m,2005-07-22,certain,traditional narrative,na,none,Spanish,good,constant,98,no
T007,cuentoresbruj,PA,50,approximate,m,2006-09-05,certain,traditional narrative,na,none,Spanish,medium,constant,587,no
T008,dyushi,RA,50,approximate,f,2005-01-13,certain,traditional narrative,na,none,Spanish,medium,constant,1586,no
T009,experabuPA,PA,50,approximate,m,2006-09-05,certain,personal narrative,na,none,Spanish,good,constant,269,no
T010,experi_res_1,PA,50,approximate,m,2005-07-21,certain,personal narrative,na,none,Spanish,good,constant,451,no
T011,experi_res_2,PA,50,approximate,m,2005-07-21,certain,personal narrative,na,none,Spanish,good,constant,392,no
T012,experi_res_RA,RA,50,approximate,f,2006-08-08,certain,personal narrative,na,none,Spanish,good,constant,223,no
T013,fiesta_rec_RA,RA,50,approximate,f,2006-08-08,certain,personal narrative,na,none,Spanish,good,constant,155,no
T014,hechohoyRA,RA,50,approximate,f,2006-09-05,certain,personal narrative,na,none,Spanish,good,constant,293,no
T015,lifestoryres_1,OG/RA,75/50,approximate,f/f,2004-12-09,certain,personal narrative,na,none,Spanish,medium,constant,307,no
T016,res_tramp_1,OG/RA,75/50,approximate,f/f,2005-07-15,certain,procedural/conversation,na,none,Spanish,medium,constant,86,no
T017,res_tramp_7,RA,50,approximate,f,2005-07-15,certain,procedural/conversation,na,none,Spanish,medium,constant,32,no
T018,sacha_res,PA,50,approximate,m,2009-08-09,certain,traditional narrative,na,none,Spanish,medium,constant,701,no
T019,storyalicia,OG,75,approximate,f,2009-09-01,certain,traditional narrative,na,none,Spanish,medium,constant,121,no
T020,vida_PA,PA,50,approximate,m,2006-08-01,certain,personal narrative,na,none,Spanish,good,constant,410,no
