id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T011,035_cut,HT,50,approximate,m,1998-09-29,certain,traditional narrative,na,all,English,medium,punctual,364,no
T016,041_cut,K,70,approximate,m,1998-09-29,certain,traditional narrative,na,all,English,medium,punctual,149,no
T017,043_cut,KN,80,approximate,m,1998-09-29,certain,traditional narrative,na,all,English,medium,punctual,244,no
T018,044_cut,KK,70,approximate,m,1998-09-27,certain,traditional narrative,na,all,English,medium,punctual,168,no
T020,046_cut,KN,80,approximate,m,1998-09-30,certain,traditional narrative,na,all,English,medium,punctual,149,no
T026,052_cut,KN,80,approximate,m,1998-09-20,certain,traditional narrative,na,all,English,medium,punctual,500,no
T029,061_cut,WT,80,approximate,m,1998-09-27,certain,traditional narrative,na,all,English,medium,punctual,184,no
T032,065_cut,TT,80,approximate,f,1998-09-29,certain,traditional narrative,na,all,English,medium,punctual,666,no
T033,066_cut,TT,80,approximate,f,1998-09-29,certain,traditional narrative,na,all,English,medium,punctual,244,no
T037,071_cut,KN,80,approximate,m,1998-10-23,certain,traditional narrative,na,all,English,medium,punctual,314,no
T038,072_cut,KM,70,approximate,m,1998-10-12,certain,traditional narrative,na,all,English,medium,punctual,272,no
T046,085_cut,AK,30,approximate,m,1998-10-20,certain,personal narrative,na,all,English,medium,punctual,323,no
T047,086_cut,HL,20,approximate,m,1998-10-21,certain,personal narrative,na,all,English,medium,punctual,249,no
T049,090_cut,JK,70,approximate,m,1998-10-30,certain,traditional narrative,na,all,English,medium,punctual,914,no
T054,096_cut,TT,80,approximate,f,1998-10-12,certain,traditional narrative,na,all,English,medium,punctual,229,no
T056,107_cut,KN,80,approximate,m,2000-03-28,certain,traditional narrative,na,all,English,good,punctual,236,no
T057,108_cut,KN,80,approximate,m,2000-03-28,certain,traditional narrative,na,all,English,medium,punctual,204,no
T063,120_cut,JK,70,approximate,m,1998-09-29,certain,personal narrative,na,all,English,medium,punctual,110,no
T065,124_cut,KN,80,approximate,m,1998-09-21,certain,traditional narrative,na,all,English,medium,punctual,340,no
T066,125_cut,HT,50,approximate,m,1998-09-28,certain,personal narrative,na,all,English,medium,punctual,194,no
T069,129_cut,GC,20,approximate,m,1998-10-20,certain,personal narrative,na,all,English,medium,punctual,780,no
T072,mc_nafsan_kori,JK,70,approximate,m,1998-10-31,certain,traditional narrative,na,all,English,medium,punctual,895,no
T051,mc_nafsan_lelep,JK,70,approximate,m,1998-10-30,certain,traditional narrative,na,all,English,medium,punctual,424,no
T073,mc_nafsan_lisau,TT,80,approximate,f,1998-10-24,certain,traditional narrative,na,all,English,medium,punctual,210,no
T041,mc_nafsan_litog,TT,80,approximate,f,1998-10-12,certain,traditional narrative,na,all,English,medium,punctual,282,no
T009,mc_nafsan_maal,KN,80,approximate,m,1997-09-09,certain,traditional narrative,na,all,English,medium,punctual,197,no
T001,mc_nafsan_nmatu,KN,80,approximate,m,1996-03-07,certain,traditional narrative,na,all,English,medium,punctual,306,no
T074,mc_nafsan_ntwam,SA,40,approximate,m,1997-03-02,certain,traditional narrative,na,all,English,medium,punctual,637,no
T043,mc_nafsan_taapes,TT,80,approximate,f,1998-10-24,certain,traditional narrative,na,all,English,medium,punctual,219,no
T075,mc_nafsan_tafra,KN,80,approximate,m,1997-07-09,certain,traditional narrative,na,all,English,medium,punctual,240,no
T002,014,KN,80,approximate,m,1997-04-02,certain,traditional narrative,na,all,English,medium,punctual,208,yes
T003,015,KN,80,approximate,m,1996-03-07,certain,personal narrative,na,all,English,medium,punctual,729,yes
T006,021,KN,80,approximate,m,1996-03-07,certain,personal narrative,na,all,English,medium,punctual,471,yes
T010,027,KN,80,approximate,m,1996-03-07,certain,traditional narrative,na,all,English,medium,punctual,112,yes
T012,036,HT,50,approximate,m,1998-10-12,certain,traditional narrative,na,all,English,medium,punctual,600,yes
T015,040,K,70,approximate,m,1998-09-29,certain,personal narrative,na,all,English,medium,punctual,1025,yes
T019,045,K,70,approximate,m,1998-09-29,certain,personal narrative,na,all,English,medium,punctual,535,yes
T021,047,JM,70,approximate,m,1998-10-03,certain,traditional narrative,na,all,English,medium,punctual,314,yes
T022,048,JM,70,approximate,m,1998-10-03,certain,traditional narrative,na,all,English,medium,punctual,158,yes
T023,049,JM,70,approximate,m,1998-10-03,certain,traditional narrative,na,all,English,medium,punctual,206,yes
T024,050,JM,70,approximate,m,1998-10-03,certain,traditional narrative,na,all,English,medium,punctual,180,yes
T025,051,JM,70,approximate,m,1998-10-03,certain,traditional narrative,na,all,English,medium,punctual,261,yes
T027,056,KN,80,approximate,m,1998-09-28,certain,traditional narrative,na,all,English,medium,punctual,372,yes
T028,058,KN,80,approximate,m,1998-09-28,certain,traditional narrative,na,all,English,medium,punctual,780,yes
T031,064,TT,80,approximate,f,1998-09-29,certain,traditional narrative,na,all,English,medium,punctual,840,yes
T034,067,WW,40,approximate,m,1998-09-30,certain,personal narrative,na,all,English,medium,punctual,427,yes
T035,068,WW,40,approximate,m,1998-09-30,certain,traditional narrative,na,all,English,medium,punctual,304,yes
T036,069,WW,40,approximate,m,1998-10-17,certain,traditional narrative,na,all,English,medium,punctual,245,yes
T040,074,TT,80,approximate,f,1998-10-12,certain,traditional narrative,na,all,English,medium,punctual,452,yes
T044,081,JK,70,approximate,f,1998-10-20,certain,personal narrative,na,all,English,medium,constant,459,yes
T045,084,DW,70,approximate,f,1998-10-20,certain,personal narrative,na,all,English,medium,constant,894,yes
T048,087,K,70,approximate,m,1998-10-30,certain,personal narrative,na,all,English,medium,punctual,1095,yes
T052,093,JK,70,approximate,m,1998-10-30,certain,traditional narrative,na,all,English,medium,punctual,640,yes
T055,105,TT,80,approximate,f,2005-11-07,certain,traditional narrative,na,all,English,bad,punctual,886,yes
T058,110,PK,70,approximate,m,1998-09-28,certain,traditional narrative,na,all,English,medium,punctual,492,yes
T059,111,JK,70,approximate,f,1998-10-20,certain,personal narrative,na,all,English,medium,punctual,379,yes
T060,112,JK,70,approximate,f,1998-10-20,certain,procedural,na,all,English,medium,punctual,305,yes
T061,117,KN,80,approximate,m,2000-03-28,certain,traditional narrative,na,all,na,medium,punctual,165,yes
T062,119,JK,70,approximate,m,1998-09-29,certain,personal narrative,na,all,English,medium,punctual,480,yes
T064,123,HL,20,approximate,m,1998-10-20,certain,personal narrative,na,all,English,medium,punctual,575,yes
T067,127,EK,20,approximate,m,1998-10-12,certain,personal narrative,na,all,English,medium,punctual,2888,yes
T068,128,NK,70,approximate,m,1998-10-13,certain,traditional narrative,na,all,English,medium,punctual,795,yes
T070,131,P,60,approximate,f,1998-10-29,certain,personal narrative,na,all,na,medium,punctual,899,yes
